,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,47,47,3,0.6196667180628428,1.6716768016397756,0.5269156239324352,0.10805606842041016,0.006817359181565589,0.3611484938777911,0.013147204607858553,5.685053825378418,0.5301729631116869,2.090707764765463,0.4190987817246866,0.002888917922973633
1,opf_kdtree,47,47,3,0.6196667180628428,1.6716768016397756,0.5269156239324352,0.11028671264648438,0.006817359181565589,0.3611484938777911,0.013147204607858553,2.38167142868042,0.5301729631116869,2.090707764765463,0.4190987817246866,0.005849123001098633
2,opf_annoy,47,47,3,0.6196667180628428,1.6716768016397756,0.5269156239324352,0.11637449264526367,0.006817359181565589,0.3611484938777911,0.013147204607858553,2.4019196033477783,0.5301729631116869,2.090707764765463,0.4190987817246866,0.0029420852661132812
3,opf_hnsw,47,47,3,0.6196667180628428,1.6716768016397756,0.5269156239324352,0.03708982467651367,0.006817359181565589,0.3611484938777911,0.013147204607858553,3.0668909549713135,0.5301729631116869,2.090707764765463,0.4190987817246866,0.012287139892578125
