,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,35,32,8,0.2442943234181327,1.686103006338749,0.36474142812153637,0.16681480407714844,0.7987955858799285,0.6916798501637605,0.6767464726189322,4.716470956802368,0.1868063727826883,2.5564009483125925,0.16624475769521097,0.01968240737915039
1,opf_kdtree,35,32,8,0.2442943234181327,1.686103006338749,0.36474142812153637,0.10887598991394043,0.7987955858799285,0.6916798501637605,0.6767464726189322,1.5574095249176025,0.1868063727826883,2.5564009483125925,0.16624475769521097,0.014258384704589844
2,opf_annoy,35,35,8,0.2442943234181327,1.686103006338749,0.36474142812153637,0.05765128135681152,0.5081352947185308,0.6774024644631186,0.4154701656979698,1.5413074493408203,0.1868063727826883,2.5564009483125925,0.16624475769521097,0.006661891937255859
3,opf_hnsw,35,32,8,0.2442943234181327,1.686103006338749,0.36474142812153637,0.11597561836242676,0.7987955858799285,0.6916798501637605,0.6767464726189322,1.8988099098205566,0.1868063727826883,2.5564009483125925,0.16624475769521097,0.006651878356933594
