,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,23,22,14,0.16931629261825248,1.702522405231287,0.35018585802794255,0.16198492050170898,0.7113853941928714,0.8019463940284421,0.5738238008643491,4.136020183563232,0.23888543594115536,2.3695855075047185,0.3320222673745464,0.028455734252929688
1,opf_kdtree,23,22,14,0.16931629261825248,1.702522405231287,0.35018585802794255,0.09837627410888672,0.7113853941928714,0.8019463940284421,0.5738238008643491,0.900644063949585,0.23888543594115536,2.3695855075047185,0.3320222673745464,0.0993509292602539
2,opf_annoy,23,23,13,0.17730165778313176,1.6621212743514762,0.3538867162827431,0.12691354751586914,0.7224028789128166,0.7808445545419936,0.5898662880731619,0.8640215396881104,0.2576176373402201,2.4683324214943996,0.3339323424396079,0.012192010879516602
3,opf_hnsw,23,22,14,0.16931629261825248,1.702522405231287,0.35018585802794255,0.09798717498779297,0.7113853941928714,0.8019463940284421,0.5738238008643491,1.0514228343963623,0.23888543594115536,2.3695855075047185,0.3320222673745464,0.09412932395935059
