,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,29,27,18,0.007634302791918779,2.056249420238538,0.041763977378829704,0.11838793754577637,0.002337334566359826,1.5252707344786467,0.026273546029880985,9.189882516860962,0.01263163209042423,2.419015241545296,0.042665395690298556,0.036734819412231445
1,opf_kdtree,29,27,18,0.007634302791918779,2.056249420238538,0.041763977378829704,0.15707063674926758,0.002337334566359826,1.5252707344786467,0.026273546029880985,2.778155565261841,0.01263163209042423,2.419015241545296,0.042665395690298556,0.03163909912109375
2,opf_annoy,29,24,20,0.009133551002953863,2.2435868788519326,0.041606014547025734,0.1190640926361084,0.0001628054018115335,1.4526899493838294,0.025301566558423638,2.701782464981079,0.013927215740737377,2.3342433317435347,0.04349499372545898,0.04848957061767578
3,opf_hnsw,29,27,16,0.009619216267641542,2.2672635738625493,0.0374772675796356,0.14446187019348145,0.0045439985286169805,1.4735453277322006,0.024595140278203136,3.4521703720092773,0.013245904399259942,2.5133440481322458,0.04267282209795643,0.04607558250427246
