,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,33,33,15,0.012447927449797603,1.7751594224893108,0.049424578367215324,0.1171422004699707,0.010635494867678109,1.6063991371820723,0.03653633782646446,9.071174621582031,0.01189095957090877,2.7356093183787737,0.047708310126390714,0.03338289260864258
1,opf_kdtree,33,33,15,0.012447927449797603,1.7751594224893108,0.049424578367215324,0.1207129955291748,0.010635494867678109,1.6063991371820723,0.03653633782646446,3.017932653427124,0.01189095957090877,2.7356093183787737,0.047708310126390714,0.022932052612304688
2,opf_annoy,33,33,16,0.013347009768520058,1.933411154076827,0.0500438441678886,0.13364505767822266,0.007474400222273985,1.503032993431074,0.036643244434317865,3.0463318824768066,0.008234743491635674,2.889730986063866,0.041129218751958525,0.017433643341064453
3,opf_hnsw,33,32,14,0.009229126563328699,2.136052232183922,0.05359370308733774,0.12298250198364258,0.010881157471747662,1.6566407869928097,0.03624414192810086,3.7132389545440674,0.010056760211508278,2.752727068915892,0.04611939161435352,0.027205467224121094
