,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,29,29,13,0,2.26386874696949,0.041551171461004,0.206676244735718,0,1.6044148091089,0.029010159805122,19.330447435379,0,2.99784265255349,0.041231184658319,0.022115230560303
1,opf_kdtree,29,29,13,0,2.26386874696949,0.041551171461004,0.128071546554565,0,1.6044148091089,0.029010159805122,2.55854535102844,0,2.99784265255349,0.041231184658319,0.014457941055298
2,opf_annoy,29,29,15,0,2.84754706034796,0.046366022147304,0.121959924697876,0,1.62187344190308,0.037964851598179,2.46624064445496,0,3.01855951244651,0.039263546493164,0.030920267105103
3,opf_hnsw,29,29,11,0,2.44803521554939,0.044280305834698,0.123747110366821,0,1.58575494187647,0.024787829582761,3.01552176475525,0,2.79440147583025,0.047931184443499,0.009710788726807
