,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,5,5,157,0,1.00864696698545,0.14414036041299,0.197708129882813,0,1.19543364986478,0.145392912097866,5.61423444747925,0,2.10291221560074,0.184987260982909,0.037245988845825
1,opf_kdtree,5,5,160,0,1.01683257826922,0.143436576101966,0.084466218948364,0,1.14361846340012,0.143981847743847,0.488904714584351,0,2.30065120989639,0.166474721953261,0.084881782531738
2,opf_annoy,5,5,157,0,1.00864696698545,0.14414036041299,0.112116813659668,0,1.09795347451833,0.147150249329626,0.410746335983276,0,2.10291221560074,0.184987260982909,0.067549705505371
3,opf_hnsw,5,5,127,0,8.87410863872542,0.139584520950158,0.133729457855225,0,1.23534334256086,0.143536919283799,0.454582691192627,0,1.64700308094251,0.178799997004941,0.026316642761231
