,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,5,5,99,0.0017958112016744072,1.3243155646008282,0.06185615849408205,0.10938692092895508,0.0029702548653440463,1.3396579327997846,0.062104245144427424,4.892292499542236,0.01288581553038178,2.10861695818856,0.05853932503990057,0.04581642150878906
1,opf_kdtree,5,5,100,0.0022787469243954524,1.2846252001160456,0.0657645262572998,0.1124110221862793,0.0029739578239606755,1.3420088859884653,0.06253986299859969,0.4130516052246094,0.013129855739837494,2.336223810377284,0.059383950384137206,0.045140981674194336
2,opf_annoy,5,5,98,0.0001500952339817717,1.230989580212211,0.06097181604514969,0.11544251441955566,0.0030535713213979427,1.7754396107054147,0.05726179306568744,0.36522459983825684,0.013249301961941093,2.1703187727630913,0.05810021408819089,0.04204916954040527
3,opf_hnsw,5,5,82,-0.0038712571794430445,1.2657487379617078,0.06241403208184617,0.11648344993591309,0.0010434943799246116,1.416732980897377,0.054317024209840026,0.39021825790405273,0.013184888971832953,1.9806979156030071,0.060059406062026276,0.03510022163391113
