,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,39,39,306,0.0,2.0916779781018118,0.0,0.45429348945617676,0.0,1.2760485179074739,0.0,85.53576850891113,0.0,2.73258798304096,0.0,0.21692419052124023
1,opf_kdtree,39,39,306,0.0,2.0916779781018118,0.0,0.4133613109588623,0.0,1.2760485179074739,0.0,22.275999307632446,0.0,2.73258798304096,0.0,0.15425610542297363
2,opf_annoy,39,39,260,0.0,2.2002723107300945,0.0,0.32848358154296875,0.0,1.4010045156554092,0.0,21.381285190582275,0.0,3.0606758064816737,0.0,0.15256381034851074
3,opf_hnsw,39,39,312,0.0,2.023285309063616,0.0,0.40420079231262207,0.0,1.2631852708779518,0.0,26.803061485290527,0.0,2.7274923752822064,0.0,0.15557217597961426
