,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,43,43,263,0.0,2.1336275787877117,0.0,0.3388025760650635,0.0,1.46221655177534,1.3044747499331908e-16,86.7690167427063,0.0,2.8045004212105455,0.0,0.11789107322692871
1,opf_kdtree,43,43,263,0.0,2.1336275787877117,0.0,0.3075826168060303,0.0,1.46221655177534,1.3044747499331908e-16,23.748563289642334,0.0,2.8045004212105455,0.0,0.1591169834136963
2,opf_annoy,43,43,225,0.0,2.4107825309650712,0.0,0.3308703899383545,0.0,1.5141398428911477,5.706405794521638e-16,21.78641963005066,0.0,2.926312398086636,0.0,0.14381122589111328
3,opf_hnsw,43,43,269,0.0,2.1255950067762734,0.0,0.3112618923187256,0.0,1.4530803243287114,0.0,28.721702575683594,0.0,2.8789531681438736,0.0,0.14058399200439453
