,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,39,39,320,0,2.03732188736728,0,0.46958327293396,0,1.18786591537993,0,99.7991061210632,0,3.0107739105473,0,0.276081323623657
1,opf_kdtree,39,39,320,0,2.03732188736728,0,0.424404859542847,0,1.18786591537993,0,22.5242893695831,0,3.0107739105473,0,0.188926935195923
2,opf_annoy,39,39,269,0,2.13452807162785,0,0.325527667999268,0,1.40782104540581,0,21.1989433765411,0,3.16013869850409,0,0.103573083877563
3,opf_hnsw,39,39,320,0,2.03732188736728,0,0.429026365280151,0,1.19178320958404,0,27.4810569286346,0,3.0107739105473,0,0.174930572509766
