,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,49,49,216,0.0,2.2218068031854843,0.0,0.30207109451293945,0.0,1.1723917175082983,0.0,93.15111351013184,0.0,3.160496404684273,0.0,0.08803701400756836
1,opf_kdtree,49,49,216,0.0,2.2218068031854843,0.0,0.28528332710266113,0.0,1.1723917175082983,0.0,28.734065294265747,0.0,3.160496404684273,0.0,0.14129948616027832
2,opf_annoy,49,49,172,0.0,2.636810047937071,0.0,0.2916426658630371,0.0,1.151722393512082,5.725608656210348e-15,26.70827627182007,0.0,3.3204676456755307,0.0,0.1136326789855957
3,opf_hnsw,49,49,219,0.0,2.2035115130206573,0.0,0.33033156394958496,0.0,1.1719968582567073,4.261805483033553e-15,35.479058504104614,0.0,3.178394852830598,0.0,0.14496135711669922
