,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,33,29,21,0.026742931786187796,1.4896711849902164,0.03462619966208713,0.11756038665771484,0.022917333580665982,0.906745522468053,0.03105147091345161,10.403290033340454,0.05701864418921802,2.06518338105739,0.04525465934623162,0.08275270462036133
1,opf_kdtree,33,29,21,0.026742931786187796,1.4896711849902164,0.03462619966208713,0.17065072059631348,0.022917333580665982,0.906745522468053,0.03105147091345161,3.448209047317505,0.05701864418921802,2.06518338105739,0.04525465934623162,0.04287147521972656
2,opf_annoy,33,32,18,0.025254775692801372,1.5307806761132674,0.030743633195897162,0.14121365547180176,0.022560446840122435,0.8657502795182804,0.031717307957228456,2.9458789825439453,0.0567060739576331,1.8211034909325963,0.047070561363529495,0.0852205753326416
3,opf_hnsw,33,26,22,0.017788775919913687,1.5476318537646543,0.032452102435514045,0.1456148624420166,0.022682979176582255,0.9073679454620421,0.03192799583837393,3.634031057357788,0.05702775433006468,2.0117936645974925,0.045506930816936665,0.07200956344604492
