,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,5,5,150,0.0007601786928439836,1.247761193428984,0.0381357175639004,0.23808550834655762,0.0007251280198104839,1.171646107797688,0.03813762935736549,10.05730414390564,0.004479280106989251,1.418545184473532,0.0391244856272906,0.2427523136138916
1,opf_kdtree,5,5,150,0.0007601786928439836,1.247761193428984,0.0381357175639004,0.4101259708404541,0.0007251280198104839,1.171646107797688,0.03813762935736549,0.4919450283050537,0.004479280106989251,1.418545184473532,0.0391244856272906,0.2337496280670166
2,opf_annoy,5,5,147,0.0007795464469181418,1.2568599095916237,0.03821609449244251,0.22720074653625488,0.0008156264402474457,1.1526416305470981,0.03890162219406124,0.4359772205352783,0.003838590257311743,1.445095777673535,0.040402240274979344,0.12970280647277832
3,opf_hnsw,5,5,114,0.0009221318811195607,1.4038059287354225,0.036024676166223235,0.11639237403869629,0.0028798327463174364,1.0924880668823023,0.033033833601540795,0.43985462188720703,0.0058001518834287094,1.590158087304803,0.03461375109398336,0.2147045135498047
