,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,5,5,145,0.0005164537615457709,1.355899966904555,0.039444411947359564,0.18477988243103027,0.0007213267703560663,1.2680004904419784,0.03515189234890922,5.7775914669036865,0.0030982022953383193,1.5115505431493188,0.04198975538642648,0.1288008689880371
1,opf_kdtree,5,5,145,0.0005164537615457709,1.355899966904555,0.039444411947359564,0.15540409088134766,0.0007213267703560663,1.2680004904419784,0.03515189234890922,0.4525642395019531,0.0030982022953383193,1.5115505431493188,0.04198975538642648,0.13712120056152344
2,opf_annoy,5,5,144,0.0005399322700447256,1.3496196275770864,0.03928989127591003,0.18109583854675293,0.0005164025880924559,1.2688785816737322,0.034170027524449836,0.37522196769714355,0.0030548750707769298,1.4976104247046538,0.04123670133979765,0.13893961906433105
3,opf_hnsw,5,5,112,0.0006548637721383557,1.2903168335104702,0.03626297317170231,0.12754225730895996,0.002200723931503869,1.1735943735358352,0.03412636899810777,0.39388108253479004,0.007520968422843431,1.5240182021649553,0.04534518923965281,0.10825967788696289
