,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,5,5,1079,0.0,0.9624024897576309,0.0,0.7410857677459717,0.0,0.825652095415608,0.0,67.18520498275757,0.0,1.6242360979246384,0.0,0.4704906940460205
1,opf_kdtree,5,5,1079,0.0,0.9624024897576309,0.0,0.670189380645752,0.0,0.825652095415608,0.0,3.7259254455566406,0.0,1.6242360979246384,0.0,0.44144749641418457
2,opf_annoy,5,5,1100,0.0,0.9546275806582302,0.0,0.7488722801208496,0.0,0.8191879906748314,0.0,2.5680296421051025,0.0,1.5970476274828962,0.0,0.4632546901702881
3,opf_hnsw,5,5,1074,0.0,0.9651410957268196,0.0,0.6243579387664795,0.0,0.8220466222616513,0.0,2.753689765930176,0.0,1.6229897594616522,0.0,0.4428596496582031
