,algorithm,max_k,k,n_clusters,kmeans_gmm_adjusted_rand_index,kmeans_gmm_db_score,kmeans_gmm_v_measure,kmeans_init_time,opf_gmm_adjusted_rand_index,opf_gmm_db_score,opf_gmm_v_measure,opf_init_time,random_gmm_adjusted_rand_index,random_gmm_db_score,random_gmm_v_measure,random_init_time
0,opf_knn,5,5,1095,0,0.954423670082497,0,0.781547546386719,0,0.82856719797959,0,178.68377327919,0,1.51670628194953,0,0.462427139282227
1,opf_kdtree,5,5,1095,0,0.954423670082497,0,0.741101026535034,0,0.82856719797959,0,3.19131565093994,0,1.51670628194953,0,0.44965934753418
2,opf_annoy,5,5,1105,0,0.950589284313552,0,0.838927268981934,0,0.826770242158363,0,2.13756132125854,0,1.51025764490488,0,0.489560842514038
3,opf_hnsw,5,5,1087,0,0.956452483496364,0,0.974574565887451,0,0.812244574126661,0,2.38228034973145,0,1.52366975948881,0,0.474500894546509
